Que,Ans
"Hallo,Hey,Hi","Hallo, wie kann ich Ihnen helfen?"
"Wie kann ich Ihnen helfen?","Wie kann ich Ihnen helfen?"
"Dankeschön","Danke"
"Dankeschön","Dankeschön"
"schätzen","schätzen"
"Bitte sehr","Bitte sehr"
"Tschüss","Tschüss"
"Auf Wiedersehen","Auf Wiedersehen"
"Tschüss","Tschüss"
"OK","OK"
"In Ordnung","In Ordnung"
"Wenn Sie weitere Fragen haben, zögern Sie nicht zu fragen.","Wenn Sie weitere Fragen haben, zögern Sie nicht zu fragen."
"Nein, danke","Kein Problem"
"Nein, vielen Dank","Kein Problem"
"Kein Problem","Kein Problem"
"Guten Morgen","Guten Morgen"
"Guten Tag","Guten Tag"
"Wie geht es Ihnen?","Mir geht es gut, danke!"
"Schönen Tag noch","Ebenso!"
"Hallo, schön Sie zu sehen","Schön, Sie zu sehen!"
"Grüß Gott","Grüß Gott"
"Wie geht es Ihnen?","Mir geht es gut, danke!"
"Was machen Sie heute?","Ich beantworte Ihre Fragen."
"Woher kommen Sie?","Ich bin ein Computerprogramm."